@SiteCode,@Latitude,@Longitude,@SpeciesCode,@annualMean
WA7,51.463429,-0.215871,NO2,58
WA7,51.463429,-0.215871,PM10,19
WA8,51.4637206047191,-0.215890144123119,NO2,53
WA9,51.4650325059122,-0.215824580947572,DUST,17
WA9,51.4650325059122,-0.215824580947572,NO2,26
WA9,51.4650325059122,-0.215824580947572,PM10,16
WAA,51.4794395281222,-0.141786953606306,DUST,29
WAA,51.4794395281222,-0.141786953606306,NO2,27
WAA,51.4794395281222,-0.141786953606306,PM10,25
WAB,51.429331,-0.166524,DUST,24
WAB,51.429331,-0.166524,NO2,35
WAB,51.429331,-0.166524,PM10,21
WAC,51.4636903568111,-0.166713485994806,DUST,21
WAC,51.4636903568111,-0.166713485994806,NO2,31
WAC,51.4636903568111,-0.166713485994806,PM10,19
WM0,51.494681,-0.131938,NO2,26
WM0,51.494681,-0.131938,PM10,15
WM0,51.494681,-0.131938,PM25,11
WM5,51.5119769825798,-0.12162720332856,NO2,24
WM6,51.5139287404213,-0.152792701881935,DUST,22
WM6,51.5139287404213,-0.152792701881935,NO2,34
WM6,51.5139287404213,-0.152792701881935,PM10,22
WMA,51.4932327916861,-0.147391757027028,NO2,39
WMB,51.516066,-0.13516388,DUST,23
WMB,51.516066,-0.13516388,NO2,35
WMB,51.516066,-0.13516388,PM10,22
WMC,51.5168016452062,-0.145657269364411,DUST,18
WMC,51.5168016452062,-0.145657269364411,NO2,32
WMC,51.5168016452062,-0.145657269364411,PM10,17
WMD,51.4922482333024,-0.147114752900186,NO2,25
WMD,51.4922482333024,-0.147114752900186,PM25,9
